iter	Passed	Remaining
0	152	152774
1	153	76610
2	154	51211
3	154	38521
4	155	30931
5	155	25834
6	156	22193
7	156	19458
8	157	17329
9	157	15624
10	158	14232
11	158	13070
12	159	12093
13	159	11265
14	160	10535
15	160	9896
16	161	9332
17	161	8829
18	162	8380
19	162	7974
20	163	7610
21	163	7277
22	164	6980
23	164	6702
24	165	6452
25	166	6219
26	166	6002
27	167	5805
28	167	5621
29	168	5446
30	168	5281
31	169	5125
32	169	4978
33	170	4841
34	170	4711
35	171	4588
36	171	4471
37	172	4361
38	172	4256
39	173	4156
40	173	4061
41	174	3972
42	174	3886
43	175	3804
44	175	3725
45	176	3652
46	176	3582
47	177	3513
48	177	3450
49	178	3393
50	179	3335
51	179	3277
52	180	3221
53	180	3166
54	181	3114
55	181	3063
56	182	3014
57	182	2967
58	183	2921
59	183	2876
60	184	2833
61	184	2791
62	184	2751
63	185	2711
64	185	2673
65	186	2637
66	186	2601
67	187	2563
68	187	2529
69	187	2497
70	188	2465
71	188	2434
72	189	2404
73	189	2374
74	190	2346
75	190	2318
76	191	2291
77	191	2264
78	192	2239
79	192	2214
80	192	2189
81	193	2166
82	194	2143
83	194	2121
84	194	2098
85	195	2076
86	195	2053
87	196	2032
88	196	2012
89	197	1992
90	197	1973
91	197	1953
92	198	1935
93	198	1916
94	199	1898
95	199	1881
96	200	1864
97	200	1847
98	201	1831
99	201	1815
100	202	1799
101	202	1781
102	202	1766
103	203	1751
104	203	1736
105	204	1722
106	204	1707
107	205	1693
108	205	1680
109	206	1667
110	206	1653
111	206	1641
112	207	1628
113	207	1615
114	208	1603
115	208	1590
116	209	1578
117	209	1566
118	209	1554
119	210	1543
120	210	1531
121	211	1520
122	211	1508
123	212	1498
124	212	1487
125	213	1477
126	213	1467
127	213	1456
128	214	1446
129	214	1436
130	215	1427
131	215	1418
132	216	1408
133	216	1399
134	217	1390
135	217	1381
136	217	1373
137	218	1363
138	218	1355
139	219	1346
140	219	1338
141	220	1330
142	220	1322
143	221	1314
144	221	1306
145	222	1298
146	222	1291
147	222	1283
148	223	1275
149	223	1268
150	224	1261
151	224	1254
152	225	1247
153	225	1240
154	226	1233
155	226	1226
156	227	1219
157	227	1212
158	227	1205
159	228	1199
160	228	1192
161	229	1186
162	229	1180
163	230	1174
164	230	1168
165	231	1162
166	231	1156
167	232	1150
168	232	1144
169	233	1138
170	233	1133
171	234	1127
172	234	1121
173	235	1116
174	235	1110
175	236	1105
176	236	1099
177	237	1094
178	237	1089
179	237	1083
180	238	1077
181	238	1072
182	239	1067
183	239	1062
184	239	1057
185	240	1052
186	240	1047
187	241	1042
188	241	1037
189	242	1032
190	242	1027
191	243	1023
192	243	1018
193	244	1013
194	244	1009
195	244	1004
196	245	1000
197	245	995
198	246	991
199	246	987
200	247	983
201	247	978
202	248	974
203	248	970
204	249	966
205	249	962
206	250	958
207	250	954
208	251	950
209	251	946
210	252	942
211	252	938
212	253	935
213	253	931
214	254	927
215	254	923
216	255	920
217	255	916
218	255	912
219	256	908
220	256	905
221	257	901
222	257	897
223	258	894
224	258	890
225	259	887
226	259	883
227	259	880
228	260	876
229	260	873
230	261	870
231	261	866
232	262	863
233	262	860
234	263	857
235	263	853
236	264	850
237	264	847
238	265	844
239	265	840
240	265	837
241	266	834
242	266	831
243	267	828
244	267	825
245	268	822
246	268	819
247	269	816
248	269	813
249	270	810
250	270	807
251	271	804
252	271	801
253	271	798
254	272	795
255	272	792
256	273	790
257	273	787
258	274	784
259	274	781
260	275	779
261	275	776
262	276	773
263	276	770
264	276	768
265	277	765
266	277	762
267	278	760
268	278	757
269	279	754
270	279	752
271	280	749
272	280	747
273	281	744
274	281	742
275	281	739
276	282	737
277	282	734
278	283	732
279	283	729
280	284	727
281	284	724
282	285	722
283	285	720
284	286	718
285	286	715
286	287	713
287	287	710
288	288	708
289	288	706
290	289	704
291	289	702
292	290	700
293	290	698
294	291	695
295	291	693
296	292	691
297	292	689
298	293	687
299	293	685
300	294	683
301	294	681
302	295	679
303	295	676
304	296	674
305	296	672
306	297	670
307	297	668
308	297	666
309	298	664
310	298	662
311	299	660
312	299	658
313	300	656
314	300	654
315	301	651
316	301	649
317	302	647
318	302	645
319	303	644
320	303	641
321	304	640
322	304	638
323	304	636
324	305	634
325	305	632
326	306	630
327	306	628
328	307	626
329	307	624
330	308	622
331	308	621
332	309	619
333	309	617
334	310	615
335	310	613
336	310	611
337	311	610
338	311	608
339	312	606
340	312	604
341	313	602
342	313	601
343	314	599
344	314	597
345	315	595
346	315	593
347	316	592
348	316	590
349	316	588
350	317	586
351	317	585
352	318	583
353	318	581
354	319	580
355	319	578
356	320	576
357	320	574
358	321	573
359	321	571
360	322	569
361	322	568
362	323	566
363	323	565
364	323	563
365	324	561
366	324	560
367	325	558
368	325	557
369	326	555
370	326	553
371	327	552
372	327	550
373	328	549
374	328	547
375	329	546
376	329	544
377	329	542
378	330	541
379	330	539
380	331	538
381	331	536
382	332	535
383	332	533
384	333	532
385	333	530
386	334	529
387	334	527
388	334	526
389	335	524
390	335	523
391	336	521
392	336	520
393	337	518
394	337	517
395	338	515
396	338	514
397	339	512
398	339	511
399	339	509
400	340	508
401	340	507
402	341	505
403	341	504
404	342	502
405	342	501
406	343	500
407	343	498
408	344	497
409	344	495
410	345	494
411	345	493
412	346	491
413	346	490
414	346	489
415	347	487
416	347	486
417	348	485
418	348	483
419	349	482
420	349	480
421	350	479
422	350	478
423	351	476
424	351	475
